,molecule_chembl_id,smiles,processed smiles,unique_char_ohe_matrix,pIC50
1562,CHEMBL4112511,Cc1sc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2c1CN1CCN(C(=O)[C@@H](C)O)CC1,,,7.251811973
1563,CHEMBL3670268,CCc1ncnc(N2CCc3ccccc3C2)c1C#Cc1ccc(N)nc1,,,7.251811973
1564,CHEMBL2057729,COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CC3)c2=O)cn1,,,7.251811973
1565,CHEMBL1914730,COCCN(C)c1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,,,7.251811973
1566,CHEMBL1290743,Oc1cccc(-c2cc(Nc3cccnc3)nc(N3CCOCC3)n2)c1,,,7.251811973
1567,CHEMBL271184,COC[C@H]1OC(=O)/C(=C/N2CCN(c3ccccc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,,,7.251811973
1568,CHEMBL1255605,COc1cccc(Nc2nc(-c3cccc(S(C)(=O)=O)c3)nc3c2cnn3C)c1,,,7.251811973
1569,CHEMBL270638,Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)C#N)cc1,,,7.251811973
1570,CHEMBL3643275,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.248720896
1571,CHEMBL3640952,CCc1ncnc(-c2ccnc(C)c2)c1C#Cc1ccc(N)nc1,,,7.244125144
1572,CHEMBL4061855,CC(=O)N1C[C@@H](C)N(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)[C@@H](C)C1,,,7.244125144
1573,CHEMBL602841,OCc1cccc(-c2nc(N3CCOCC3)c3ncn(C4CCNCC4)c3n2)c1,,,7.244125144
1574,CHEMBL3670161,CCc1ncnc(N2CCC3(CC2)OCCO3)c1C#Cc1ccc(N)nc1,,,7.244125144
1575,CHEMBL3640940,CCc1ncnc(-c2ccc(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.244125144
